vehicle_id,title,description,url,make,model,year,mileage.value,mileage.unit,image[0].url,image[0].tag[0],transmission,fuel_type,body_style,drivetrain,vin,condition,price,address,exterior_color,sale_price,availability,state_of_vehicle,latitude,longitude,Trim
SALDV2248VA117186,1997 Land Rover Defender 90 ,"Simply Drive Home. 4WD, North American Spec, Removable Soft Top. Clean CARFAX. Come and see only the finest Land Rovers at D&C Motor Company. Please call for additional details and to reserve a priority viewing of this car. Secure hold deposits available upon request. We offer financing options and extended service contracts to add to your peace of mind.Stop by our new indoor showroom and enjoy the no pressure buying atmosphere. For over 12 years D&C has surpassed the standard by demonstrating unrivaled integrity and professionalism. Our expert service technicians inspect each vehicle before entering the showroom. We specialize in Audi, Mercedes-Benz, AMG, BMW, Jaguar, Land Rover / Range Rover, Maserati, Porsche, Volkswagen VW, Volvo and Mini Cooper. D&C works with many local clients from Nike, Adidas, Intel, Boeing Co, Columbia Sportswear, Freightliner, Legacy Health Systems, Providence Health Systems, OHSU, Tektronix, and others. We appreciate the opportunity to support our community.",https://www.dcmotorcompany.com/vehicle-details/1997-land-rover-defender-90-d90-nas-low-miles-portland-or-id-30922821,Land Rover,Defender 90,1997,83869,MI,http://vehicle-photos-published.vauto.com/52/27/f2/50-6ff8-4e16-b269-43ddd03c1f63/image-1.jpg,,AUTOMATIC,GASOLINE,SUV,AWD,SALDV2248VA117186,,69990 USD,"{addr1: '18625 SE McGloughlin Blvd', city: 'Portland', region: 'OR', postal_code: '97267', country: 'US'}",WHITE,69990 USD,AVAILABLE,USED,45.4074,-122.61,
WBADP634XYBV65142,2000 BMW 5 Series 528iA,"Simply Drive Home. Heated Seats, Power Glass Moonroof. Clean CARFAX. Come and see only the finest BMWs at D&C Motor Company. Please call for additional details and to reserve a priority viewing of this car. Secure hold deposits available upon request. We offer financing options and extended service contracts to add to your peace of mind.Stop by our new indoor showroom and enjoy the no pressure buying atmosphere. For over 12 years D&C has surpassed the standard by demonstrating unrivaled integrity and professionalism. Our expert service technicians inspect each vehicle before entering the showroom. We specialize in Audi, Mercedes-Benz, AMG, BMW, Jaguar, Land Rover / Range Rover, Maserati, Porsche, Volkswagen VW, Volvo and Mini Cooper. D&C works with many local clients from Nike, Adidas, Intel, Boeing Co, Columbia Sportswear, Freightliner, Legacy Health Systems, Providence Health Systems, OHSU, Tektronix, and others. We appreciate the opportunity to support our community.",https://www.dcmotorcompany.com/vehicle-details/2000-bmw-5-series-528ia-heated-seats-sunroof-portland-or-id-32797648,BMW,5 Series,2000,127164,MI,http://vehicle-photos-published.vauto.com/c6/2b/4a/0e-f7ee-4c55-a9b2-b01c76ad04d0/image-1.jpg,,AUTOMATIC,GASOLINE,WAGON,RWD,WBADP634XYBV65142,,6790 USD,"{addr1: '18625 SE McGloughlin Blvd', city: 'Portland', region: 'OR', postal_code: '97267', country: 'US'}",SILVER,6790 USD,AVAILABLE,USED,45.4074,-122.61,528iA
JN8DR09Y54W903879,2004 Nissan Pathfinder SE,"Simply Drive Home. 4WD, Leather Seats, 1-Touch Power Sliding Glass Sunroof w/Tilt, Heated Seats. Come and see only the finest Nissans at D&C Motor Company. Please call for additional details and to reserve a priority viewing of this car. Secure hold deposits available upon request. We offer financing options and extended service contracts to add to your peace of mind.Stop by our new indoor showroom and enjoy the no pressure buying atmosphere. For over 12 years D&C has surpassed the standard by demonstrating unrivaled integrity and professionalism. Our expert service technicians inspect each vehicle before entering the showroom. We specialize in Audi, Mercedes-Benz, AMG, BMW, Jaguar, Land Rover / Range Rover, Maserati, Porsche, Volkswagen VW, Volvo and Mini Cooper. D&C works with many local clients from Nike, Adidas, Intel, Boeing Co, Columbia Sportswear, Freightliner, Legacy Health Systems, Providence Health Systems, OHSU, Tektronix, and others. We appreciate the opportunity to support our community.",https://www.dcmotorcompany.com/vehicle-details/2004-nissan-pathfinder-se-4wd-leather-heated-seats-moon-roof-portland-or-id-32438239,Nissan,Pathfinder,2004,189955,MI,http://vehicle-photos-published.vauto.com/4a/2a/18/50-293a-4f1d-bef8-b552690f7c08/image-1.jpg,,AUTOMATIC,GASOLINE,SUV,AWD,JN8DR09Y54W903879,,6590 USD,"{addr1: '18625 SE McGloughlin Blvd', city: 'Portland', region: 'OR', postal_code: '97267', country: 'US'}",BLACK,6690 USD,AVAILABLE,USED,45.4074,-122.61,SE
4USBT33544LS51692,2004 BMW Z4 2.5i,"Simply Drive Home. Fully Automatic SoftTop. Clean CARFAX. Come and see only the finest BMWs at D&C Motor Company. Please call for additional details and to reserve a priority viewing of this car. Secure hold deposits available upon request. We offer financing options and extended service contracts to add to your peace of mind.Stop by our new indoor showroom and enjoy the no pressure buying atmosphere. For over 12 years D&C has surpassed the standard by demonstrating unrivaled integrity and professionalism. Our expert service technicians inspect each vehicle before entering the showroom. We specialize in Audi, Mercedes-Benz, AMG, BMW, Jaguar, Land Rover / Range Rover, Maserati, Porsche, Volkswagen VW, Volvo and Mini Cooper. D&C works with many local clients from Nike, Adidas, Intel, Boeing Co, Columbia Sportswear, Freightliner, Legacy Health Systems, Providence Health Systems, OHSU, Tektronix, and others. We appreciate the opportunity to support our community.",https://www.dcmotorcompany.com/vehicle-details/2004-bmw-z4-2-5i-convertible-low-miles-portland-or-id-32597747,BMW,Z4,2004,109282,MI,http://vehicle-photos-published.vauto.com/62/95/4c/68-3532-47e6-9f33-ed3914a12fe1/image-1.jpg,,AUTOMATIC,GASOLINE,CONVERTIBLE,RWD,4USBT33544LS51692,,6550 USD,"{addr1: '18625 SE McGloughlin Blvd', city: 'Portland', region: 'OR', postal_code: '97267', country: 'US'}",BLACK,6550 USD,AVAILABLE,USED,45.4074,-122.61,2.5i
WAUDT48H65K012320,2005 Audi A4 3.0 Cabriolet,"Simply Drive Home. Heated Seats. Clean CARFAX. Come and see only the finest Audis at D&C Motor Company. Please call for additional details and to reserve a priority viewing of this car. Secure hold deposits available upon request. We offer financing options and extended service contracts to add to your peace of mind.Stop by our new indoor showroom and enjoy the no pressure buying atmosphere. For over 12 years D&C has surpassed the standard by demonstrating unrivaled integrity and professionalism. Our expert service technicians inspect each vehicle before entering the showroom. We specialize in Audi, Mercedes-Benz, AMG, BMW, Jaguar, Land Rover / Range Rover, Maserati, Porsche, Volkswagen VW, Volvo and Mini Cooper. D&C works with many local clients from Nike, Adidas, Intel, Boeing Co, Columbia Sportswear, Freightliner, Legacy Health Systems, Providence Health Systems, OHSU, Tektronix, and others. We appreciate the opportunity to support our community.",https://www.dcmotorcompany.com/vehicle-details/2005-audi-a4-3-0-cabriolet-quattro-convertible-top-heated-seats-portland-or-id-33973247,Audi,A4,2005,133482,MI,http://vehicle-photos-published.vauto.com/c5/2d/73/62-e700-4391-84bd-3da6ad1630d7/image-1.jpg,,AUTOMATIC,GASOLINE,CONVERTIBLE,AWD,WAUDT48H65K012320,,6950 USD,"{addr1: '18625 SE McGloughlin Blvd', city: 'Portland', region: 'OR', postal_code: '97267', country: 'US'}",RED,6990 USD,AVAILABLE,USED,45.4074,-122.61,3.0 Cabriolet
WP0AA29965S620197,2005 Porsche 911 Carrera,"Simply Drive Home. Backup Camera, Bluetooth Audio, 350 HP, Navigation System, Power Moonroof. Clean CARFAX. Come and see only the finest Porsches at D&C Motor Company. Please call for additional details and to reserve a priority viewing of this car. Secure hold deposits available upon request. We offer financing options and extended service contracts to add to your peace of mind.Stop by our new indoor showroom and enjoy the no pressure buying atmosphere. For over 12 years D&C has surpassed the standard by demonstrating unrivaled integrity and professionalism. Our expert service technicians inspect each vehicle before entering the showroom. We specialize in Audi, Mercedes-Benz, AMG, BMW, Jaguar, Land Rover / Range Rover, Maserati, Porsche, Volkswagen VW, Volvo and Mini Cooper. D&C works with many local clients from Nike, Adidas, Intel, Boeing Co, Columbia Sportswear, Freightliner, Legacy Health Systems, Providence Health Systems, OHSU, Tektronix, and others. We appreciate the opportunity to support our community.",https://www.dcmotorcompany.com/vehicle-details/2005-porsche-911-carrera-4s-350-hp-6-speed-manual-backup-camera-portland-or-id-33128187,Porsche,911,2005,102712,MI,http://vehicle-photos-published.vauto.com/2d/bd/b7/a2-a113-4edf-b822-e3b0bc6912f7/image-1.jpg,,MANUAL,,COUPE,RWD,WP0AA29965S620197,,25890 USD,"{addr1: '18625 SE McGloughlin Blvd', city: 'Portland', region: 'OR', postal_code: '97267', country: 'US'}",SILVER,25890 USD,AVAILABLE,USED,45.4074,-122.61,Carrera
3D7KS28CX5G857660,2005 Dodge Ram 2500 SLT,"Simply Drive Home. Local Trade Lifted 4x4 Cummins Turbo Diesel. Come and see only the finest Dodges at D&C Motor Company. Please call for additional details and to reserve a priority viewing of this car. Secure hold deposits available upon request. We offer financing options and extended service contracts to add to your peace of mind.Stop by our new indoor showroom and enjoy the no pressure buying atmosphere. For over 12 years D&C has surpassed the standard by demonstrating unrivaled integrity and professionalism. Our expert service technicians inspect each vehicle before entering the showroom. We specialize in Audi, Mercedes-Benz, AMG, BMW, Jaguar, Land Rover / Range Rover, Maserati, Porsche, Volkswagen VW, Volvo and Mini Cooper. D&C works with many local clients from Nike, Adidas, Intel, Boeing Co, Columbia Sportswear, Freightliner, Legacy Health Systems, Providence Health Systems, OHSU, Tektronix, and others. We appreciate the opportunity to support our community.",https://www.dcmotorcompany.com/vehicle-details/2005-dodge-ram-2500-slt-portland-or-id-28399893,Dodge,Ram 2500,2005,150712,MI,http://vehicle-photos-published.vauto.com/9d/15/1c/98-1bd4-43c3-9676-e6ea0a826799/image-1.jpg,,AUTOMATIC,DIESEL,TRUCK,AWD,3D7KS28CX5G857660,,19890 USD,"{addr1: '18625 SE McGloughlin Blvd', city: 'Portland', region: 'OR', postal_code: '97267', country: 'US'}",RED,19890 USD,AVAILABLE,USED,45.4074,-122.61,SLT
WDBSK79F65F091183,2005 Mercedes-Benz SL-Class SL 65 AMGÂ®,"Simply Drive Home. 604 Horsepower, Massaging Seats, AMG(R) Style IV MULTI PIECE Wheels, Heated Seats, Navigation system: COMAND, Parktronic, Ventilated Seats. Come and see only the finest Mercedes-Benzs at D&C Motor Company. Please call for additional details and to reserve a priority viewing of this car. Secure hold deposits available upon request. We offer financing options and extended service contracts to add to your peace of mind.Stop by our new indoor showroom and enjoy the no pressure buying atmosphere. For over 12 years D&C has surpassed the standard by demonstrating unrivaled integrity and professionalism. Our expert service technicians inspect each vehicle before entering the showroom. We specialize in Audi, Mercedes-Benz, AMG, BMW, Jaguar, Land Rover / Range Rover, Maserati, Porsche, Volkswagen VW, Volvo and Mini Cooper. D&C works with many local clients from Nike, Adidas, Intel, Boeing Co, Columbia Sportswear, Freightliner, Legacy Health Systems, Providence Health Systems, OHSU, Tektronix, and others. We appreciate the opportunity to support our community.",https://www.dcmotorcompany.com/vehicle-details/2005-mercedes-benz-sl-class-sl-65-amg-604-horsepower-vented-seats-portland-or-id-34183329,Mercedes-Benz,SL-Class,2005,29330,MI,http://vehicle-photos-published.vauto.com/f3/cb/d0/cb-eae7-4ffe-8267-d43b594eddda/image-1.jpg,,AUTOMATIC,GASOLINE,CONVERTIBLE,RWD,WDBSK79F65F091183,,34990 USD,"{addr1: '18625 SE McGloughlin Blvd', city: 'Portland', region: 'OR', postal_code: '97267', country: 'US'}",NA,34990 USD,AVAILABLE,USED,45.4074,-122.61,SL 65 AMGÂ®
1GNFK163X7J384988,2007 Chevrolet Suburban 1500 LTZ,"Simply Drive Home. 3rd Row 3-Passenger 50/50 Split-Bench Seat, 3rd Row Seating, Heated 2nd Row Seats, Heated Seats, Navigation System, Power Tilt-Sliding Sunroof w/Express-Open/Close, Rear-View Camera System. CARFAX One-Owner. Come and see only the finest Chevrolets at D&C Motor Company. Please call for additional details and to reserve a priority viewing of this car. Secure hold deposits available upon request. We offer financing options and extended service contracts to add to your peace of mind.Stop by our new indoor showroom and enjoy the no pressure buying atmosphere. For over 12 years D&C has surpassed the standard by demonstrating unrivaled integrity and professionalism. Our expert service technicians inspect each vehicle before entering the showroom. We specialize in Audi, Mercedes-Benz, AMG, BMW, Jaguar, Land Rover / Range Rover, Maserati, Porsche, Volkswagen VW, Volvo and Mini Cooper. D&C works with many local clients from Nike, Adidas, Intel, Boeing Co, Columbia Sportswear, Freightliner, Legacy Health Systems, Providence Health Systems, OHSU, Tektronix, and others. We appreciate the opportunity to support our community.",https://www.dcmotorcompany.com/vehicle-details/2007-chevrolet-suburban-1500-ltz-front-rear-heated-seats-navigation-portland-or-id-34204867,Chevrolet,Suburban 1500,2007,160241,MI,http://vehicle-photos-published.vauto.com/6e/31/2c/ed-436a-447a-8ee5-7697ebaaf13e/image-1.jpg,,AUTOMATIC,FLEX,SUV,AWD,1GNFK163X7J384988,,11990 USD,"{addr1: '18625 SE McGloughlin Blvd', city: 'Portland', region: 'OR', postal_code: '97267', country: 'US'}",GRAY,11990 USD,AVAILABLE,USED,45.4074,-122.61,LTZ
1FMCU93168KA39651,2008 Ford Escape XLT,"Simply Drive Home. Aux Audio, Mini Overhead Console, Power Moonroof w/Shade. Come and see only the finest Fords at D&C Motor Company. Please call for additional details and to reserve a priority viewing of this car. Secure hold deposits available upon request. We offer financing options and extended service contracts to add to your peace of mind.Stop by our new indoor showroom and enjoy the no pressure buying atmosphere. For over 12 years D&C has surpassed the standard by demonstrating unrivaled integrity and professionalism. Our expert service technicians inspect each vehicle before entering the showroom. We specialize in Audi, Mercedes-Benz, AMG, BMW, Jaguar, Land Rover / Range Rover, Maserati, Porsche, Volkswagen VW, Volvo and Mini Cooper. D&C works with many local clients from Nike, Adidas, Intel, Boeing Co, Columbia Sportswear, Freightliner, Legacy Health Systems, Providence Health Systems, OHSU, Tektronix, and others. We appreciate the opportunity to support our community.",https://www.dcmotorcompany.com/vehicle-details/2008-ford-escape-xlt-power-moonroof-aux-audio-portland-or-id-33747871,Ford,Escape,2008,151443,MI,http://vehicle-photos-published.vauto.com/96/ee/30/a6-5c9c-4fc4-b5f1-3ffa303fbf0f/image-1.jpg,,AUTOMATIC,GASOLINE,SUV,AWD,1FMCU93168KA39651,,5890 USD,"{addr1: '18625 SE McGloughlin Blvd', city: 'Portland', region: 'OR', postal_code: '97267', country: 'US'}",BLUE,5950 USD,AVAILABLE,USED,45.4074,-122.61,XLT
